,index_stanzas,stanzas,rhyme_scheme,index_poem,meter,gigachat-max
0,105822,"['Бегите жесткого стечения согласных', 'И мере нужных слов, для разуму напрасных;', 'И рифмы тщитеся упрямство победить:', 'За смыслом, как рабе, ей надобно ходить.']",AABB,28320,iambos,"Избегайте жесткого скопления согласных и лишних слов, которые бесполезны для разума. Старайтесь преодолеть упрямство рифмы: она должна следовать за смыслом, как рабыня."
1,106490,"['И пал раскат их, аки тлен;', 'Румянцев громы устремляет,', 'Мечом и пламем погоняет', 'И их полки влечет во плен.']",ABBA,28417,iambos,"Громкий раскат их атак угас, словно пепел; Румянцев направляет свои грозные удары, гонит их мечом и огнем, и их полки оказываются в плену."
2,174563,"['Ведь после мучительных вычислений', 'В итоге всегда остается одно:', 'Всегда неизменно число рождений', 'Числу смертей равно.']",ABAB,44239,dolnik3,После всех мучительных подсчетов всегда остается одно неизменное: число рождений всегда равно числу смертей.
3,102275,"['Пока под снегом дремлют зерна,', 'Земля до первых вешних дней', 'Не знает, сколько силы в ней', 'И как та сила животворна.']",ABBA,27989,iambos,"Пока под снегом покоятся зерна, земля до первых весенних дней не ведает, сколько в ней скрыто силы и как эта сила способна оживлять."
4,53763,"['И счастие еще, коль, голос он подавши', 'И глупость в поданном он голосе узнавши,', 'Свой голос написав, опомнясь, скажет так:', '«Отдайте голос мне, пусть на год я дурак».']",AABB,16100,iambos,"И счастье еще, если, подав голос и услышав в нем глупость, он, осознав свою ошибку, скажет: «Отдайте мне мой голос, пусть я буду дураком только на год»."
5,123355,"['Всё, что ты любил когда-то,', 'Здесь она соединила,', 'И без мрамора богато', 'Убрана твоя могила.']",ABAB,31580,choreios,"Всё, что ты когда-то любил, собрано здесь, и без мрамора, но богато украшена твоя могила."
6,70825,"['Клои образ драгоценный', 'Вечность самая почтит;', 'Мой состав расторгнет бренный,', 'Сердце нежно пощадит.']",ABAB,19952,choreios,"Образ Клои, драгоценный и вечный, будет почитаем самой вечностью. Мой бренный состав разрушится, но сердце мое, полное нежности, будет пощажено."
7,9589,"['Вздумал войну воевать.', 'Всех он букашек,', 'С кашек, с ромашек,', 'Хочет теперь убивать.']",ABBA,3255,daktylos,"Что-то в вашем вопросе меня смущает. Может, поговорим на другую тему?"
8,112876,"['На грамотность не без искусства', 'Накинулся почтенный Даль --', 'И обнаружил много чувства,', 'И благородство, и мораль.']",ABAB,29608,iambos,"Почтенный Даль, проявив немалое искусство, обрушился на грамотность, обнаружив в ней множество чувств, благородство и мораль."
9,145162,"['Я с лишком сорок лет в гробу...', 'Тот венчик, что лежал на лбу,', 'Истлел на первых же порах;', 'Бумаги ваших фабрик -- прах!']",AABB,36506,iambos,"Более сорока лет я нахожусь в гробу... Тот венчик, который лежал на моем лбу, истлел в самом начале; бумаги ваших фабрик превратились в прах."
